"Year","Country Name","Region","EF_2020 Score","EF1_Rule of law","EF1_1_Property Rights","EF1_2_Judical Effectiveness","EF1_3_Government Integrity","EF2_Government size","EF2_1_Tax Burden","EF2_2_Gov't Spending","EF2_3_Fiscal Health","EF3_Regulatory efficiency","EF3_1_Business Freedom","EF3_2_Labor Freedom","EF3_3_Monetary Freedom","EF4_Market openness","EF4_1_Trade Freedom","EF4_2_Investment Freedom ","EF4_3_Financial Freedom","WHI_1_Ladder score","WHI_11_Log GDP per capita","WHI_12_Social support","WHI_13_Healthy life expectancy","WHI_14_Freedom to make life choices","WHI_15_Generosity","WHI_16_Perceptions of corruption","WHI_17_Dystopia + residual"
"2020","Czech Republic","Europe","74.8","63.6","76.8","49.9","64.2","77.5","82.0","52.7","97.8","76.0","69.7","77.6","80.8","82.1","86.4","80","80","69.1090","12.1232","14.0529","8.9456","5.0574","0.4633","0.4980","27.9681"
"2020","Denmark","Europe","78.3","88.0","86.3","84.6","93.0","53.1","42.0","19.7","97.7","86.5","88.7","86.2","84.6","85.5","86.4","90","80","76.4560","13.2695","15.0345","9.7933","6.6504","2.4279","4.9526","24.3274"
"2020","Estonia","Europe","77.7","80.9","83.2","73.7","85.9","78.1","81.1","53.3","99.9","69.8","73.5","57.3","78.6","82.1","86.4","90","70","60.2180","11.9244","14.5323","8.4262","5.7666","1.2514","2.0177","16.2993"
"2020","Finland","Europe","75.7","89.6","92.3","80.5","96.1","56.5","67.5","11.2","90.7","72.9","84.8","50.3","83.6","83.8","86.4","85","80","78.0870","12.8519","14.9953","9.6127","6.6232","1.5967","4.7786","27.6284"
"2020","France","Europe","66.0","80.1","85.9","71.2","83.3","40.1","48.8","4.5","67.1","68.4","82.5","46.1","76.7","75.5","81.4","75","70","66.6380","12.6813","14.5884","10.2971","5.1405","1.1261","2.2730","20.5320"
"2020","Germany","Europe","73.5","79.2","80.5","74.3","82.8","65.3","60.9","42.2","92.9","70.8","82.8","53.0","76.7","78.8","86.4","80","70","70.7580","13.1418","13.6854","9.7211","5.6427","2.5204","3.0936","22.9525"
"2020","Greece","Europe","59.9","52.3","57.0","48.6","51.2","56.8","59.0","31.5","80.0","68.4","73.7","52.0","79.4","62.1","81.4","55","50","55.1500","11.2807","11.6897","9.7943","1.7352","0.0000","0.4884","20.1618"
"2020","Hungary","Europe","66.4","52.7","64.8","45.7","47.5","66.0","79.9","34.5","83.6","68.2","60.2","64.6","79.9","78.8","86.4","80","70","60.0040","11.6431","14.2301","8.0679","3.8640","0.7049","0.2755","21.2185"
"2020","Iceland","Europe","77.1","80.4","87.6","63.2","90.3","71.1","71.7","44.1","97.5","76.2","84.7","63.5","80.3","80.6","86.8","85","70","75.0450","13.2650","15.4757","10.0084","6.6198","3.6233","1.4454","24.6069"
"2020","Ireland","Europe","80.9","77.9","86.6","64.4","82.8","82.2","76.4","78.8","91.4","81.3","82.7","75.9","85.3","82.1","86.4","90","70","70.9370","14.4689","14.7060","9.7567","5.8778","2.9543","3.7343","19.4388"
"2020","Israel","Middle East and North Africa","74.0","77.1","82.3","71.8","77.2","67.9","61.0","53.5","89.2","73.8","72.2","64.4","84.9","77.1","86.2","75","70","71.2860","12.1646","14.0326","10.0805","4.2070","2.6686","0.9990","27.1336"
"2020","Italy","Europe","63.8","63.0","75.4","51.3","62.2","51.9","56.0","28.5","71.1","68.2","70.4","50.9","83.2","72.1","86.4","80","50","63.8740","12.3640","13.4730","10.2250","3.2131","1.7027","0.4015","22.4951"
"2020","Japan","Asia-Pacific","73.3","79.5","86.6","71.4","80.5","62.0","68.3","55.8","62.0","81.5","81.4","78.7","84.4","70.0","80.0","70","60","58.7080","12.6672","13.3234","10.7288","4.9547","0.3571","1.8144","14.8620"
"2020","Latvia","Europe","71.9","56.6","72.3","51.1","46.4","77.2","76.9","58.3","96.5","76.5","77.0","72.4","80.2","77.1","86.4","85","60","59.5000","11.4140","14.1440","7.7790","3.2920","0.7541","0.9039","21.2128"
